PROPERTY_NUM,PROPERTY_NAME,ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE
PS #70386,Westminster / 22 Fwy & Beach,7482 Garden Grove Blvd,Westminster,CA,92683-2296,33.7728,-118
PS #70387,Sunnyvale / E. Arques Ave,620 East Arques Ave,Sunnyvale,CA,94085-3831,37.3813,-122.017
PS #70388,Saugus / Soledad Canyon,21648 Golden Triangle Rd,Saugus,CA,91350-2614,34.4149,-118.514
PS #70389,Sacramento / Watt Ave,3421 Auburn Blvd,Sacramento,CA,95821-1912,38.6375,-121.385
PS #70391,San Jose / 2255 Tully Road,2255 Tully Road,San Jose,CA,95122-1348,37.3281,-121.818
PS #70392,Redwood City / E. Bayshore Rd,1841 E Bayshore Road,Redwood City,CA,94063-4122,37.4886,-122.207
PS #70393,Granada Hills / Chatsworth Ave,18175 Chatsworth Ave,Granada Hills,CA,91344-5613,34.2649,-118.528
PS #70394,San Diego/94 Fwy/ Federal Blvd,5950 Federal Blvd,San Diego,CA,92114-1336,32.7275,-117.069
PS #70396,Maple Valley / SE Wax Rd,22013 SE Wax Road,Maple Valley,WA,98038-8560,47.391,-122.048
PS #70397,Kent/104th Ave SE/ SE 256th St,10528 SE 256th Street,Kent,WA,98030-6751,47.374,-122.2
PS #70398,Kent/104th Ave SE/ SE 244th St,10434 SE 244th Street,Kent,WA,98030-4961,47.3837,-122.201
PS #70399,University Village / QFC,"2746 NE 45th St, Suite 100",Seattle,WA,98105-5018,47.6621,-122.296
PS #70405,La Puente/Valley Bl &Fullerton,18711 Valley Blvd,La Puente,CA,91744-6053,34.0046,-117.895
PS #75078,Goleta / Hollister Ave,7246 Hollister Ave,Goleta,CA,93117-2807,34.4308,-119.88
PS #75079,Goleta / Overpass Road,5425 Overpass Rd,Santa Barbara,CA,93111-2033,34.4386,-119.813
PS #75081,N.Richland Hls/Hilltop&RufSnow,6451 Hilltop Drive,No Richland Hills,TX,76180-6011,32.8455,-97.2404
PS #75085,Hayward / Whipple Rd,1639 Whipple Road,Hayward,CA,94544-7928,37.607,-122.048
PS #75204,Atlanta/Cumberland Pkwy &Paces,2515 Cumberland Pkwy SE,Atlanta,GA,30339-3928,33.8659,-84.4774
PS #77502,Seabrook/New Zealand Rd & I-95,72 New Zealand Rd,Seabrook,NH,03874-4114,42.8962,-70.8785
PS #77503,Nashua/W Hollis St & Ledgewood,596 W Hollis St,Nashua,NH,03062-1359,42.742,-71.5068
PS #77504,Hampstead / Rte 111 & Stage Rd,184 State Route 111,Hampstead,NH,03841-2343,42.8608,-71.1755
PS #77507,Campbell / E. Sunnyoaks Ave,155 E Sunnyoaks Ave,Campbell,CA,95008-6607,37.2728,-121.952
PS #77513,Petaluma/Petaluma Bl& Kastania,2557 Petaluma Blvd S,Petaluma,CA,94952-5534,38.2244,-122.611
PS #77514,Atlanta/ Fairburn Rd & Cascade,820 Fairburn Road SW,Atlanta,GA,30331-2007,33.7337,-84.5096
PS #77521,Cordova/Germantown Pky&Trinity,475 N Germantown Pkwy,Cordova,TN,38018-6209,35.1383,-89.7984
PS #77523,Brockton/N Main St & Haverhill,120 N Main Street,Brockton,MA,02301-3911,42.0881,-71.0199
PS #77532,Orem / N State St & 1200N,1024 N State Street,Orem,UT,84057-3153,40.3161,-111.703
PS #77538,Mt Pleasant / Johnnie Dodds Bl,616 Johnnie Dodds Bl,Mt Pleasant,SC,29464-3013,32.8082,-79.8813
PS #77539,Warminster/E County Line &Park,273 E County Line Rd,Hatboro,PA,19040-1234,40.1881,-75.0991
