name,city,state,lat,lng
Costa Mesa / Placentia & 17th,Costa Mesa,CA,33.6494,-117.932
Van Nuys / Sepulveda-A,Van Nuys,CA,34.1788,-118.468
Pico Rivera/Beverly &Paramount,Pico Rivera,CA,34.0134,-118.088
Miami / NW 36th St & 3rd Ave,Miami,FL,25.81,-80.2016
Deerfield Bch/SE 2nd &Hilsboro,Deerfield Beach,FL,26.3176,-80.1003
W Palm Bch/Mercer & Australian,West Palm Beach,FL,26.7017,-80.0679
Denver / Fox St & W 29th Ave,Denver,CO,39.7595,-104.995
Wheat Ridge/ Youngfield & 44th,Wheat Ridge,CO,39.7771,-105.141
Woodbridge/Smoke Ct & Neabsco,Woodbridge,VA,38.6259,-77.2893
Miami/SW 8th St & SW 35th Ave,Miami,FL,25.7645,-80.2516
Littleton / Bowles RD (JV),Littleton,CO,39.61,-105.148
Concord/ Derita & Christenbury,Concord,NC,35.3777,-80.7287
Naples/Tamiam&Colier(JV(Op5/7,Naples,FL,26.0604,-81.6965
Boca Raton/NW 1st Ct & NW 20th,Boca Raton,FL,26.3668,-80.0867
Homestead/ Campbell Dr & 162nd,Homestead,FL,25.4783,-80.451
Hollywood / Dixie Hwy,Hollywood,FL,26.0034,-80.1492
Venice/Jacaranda Bl &Venice Av,Venice,FL,27.094,-82.386
Fort Myers / State Rd 82,Fort Myers,FL,26.6126,-81.76
Miami / NW 137th Av(JV)Opg9/24,Miami,FL,25.7819,-80.4172
Miami / SW 128th St (JV),Miami,FL,25.6485,-80.4019
Goulds / 23025 S Dixie Hwy,Goulds,FL,25.5532,-80.394
Bradenton / SR 64,Bradenton,FL,27.4854,-82.4481
Naples/Addison Pl & Collier Bl,Naples,FL,26.2751,-81.6911
Sarasota/Sarasota Center Blvd,Sarasota,FL,27.3559,-82.4009
Austin/ S Lamar Bl & Hether St,Austin,TX,30.2504,-97.7666
San Dimas / 210 San Dimas Ave,San Dimas,CA,34.1185,-117.81
Long Beach / Cherry Ave,Long Beach,CA,33.8334,-118.167
E. LA / Valley Blvd,Los Angeles,CA,34.068,-118.178
Glendale/ Eagle Rock & Verdugo,Los Angeles,CA,34.1183,-118.232
N. Pasadena / Lincoln Ave,Pasadena,CA,34.1675,-118.159
Crossroads Pkwy/ 605 & 60 Fwys,Whittier,CA,34.0319,-118.025
Fremont / Enterprise,Fremont,CA,37.5025,-121.959
Milpitas/Montague I &Watson Ct,Milpitas,CA,37.4121,-121.886
Wilmington / PCH & Eubank,Wilmington,CA,33.7917,-118.258
Sun Valley / Glenoaks,Sun Valley,CA,34.2341,-118.37
Corona / 91 Fwy & Pomona,Corona,CA,33.8834,-117.594
Norco / 2nd St & Hamner,Norco,CA,33.919,-117.558
N Hollywood/Vanowen & Vineland,North Hollywood,CA,34.1938,-118.366
Concord / Concord Ave,Concord,CA,37.9794,-122.047
Tustin / Franklin Ave,Tustin,CA,33.7139,-117.812
Pasadena / Foothill & Madre,Pasadena,CA,34.1488,-118.079
Azusa/ Azusa & Arrow Hwy,Azusa,CA,34.109,-117.908
Redlands / 10 Fwy & Alabama,Redlands,CA,34.0655,-117.214
Airport I,Miami,FL,25.8115,-80.2368
Miami / Marlin Road,Miami,FL,25.5918,-80.3624
Rubidoux/Mission Bl/Valley Way,Riverside,CA,34.0073,-117.427
Oakland / San Leandro St,Oakland,CA,37.7589,-122.204
Richmond / Jacuzzi St,Richmond,CA,37.9001,-122.312
Santa Clara / Laurelwood,Santa Clara,CA,37.3798,-121.946
Pembroke Park,Hallandale,FL,25.9955,-80.1681
Fort Lauderdale / Sunrise II,Ft Lauderdale,FL,26.1442,-80.1709
San Carlos /375 Shoreway Rd -K,San Carlos,CA,37.5161,-122.256
Fort Lauderdale/Sunrise I,Ft Lauderdale,FL,26.1377,-80.1708
Sacramento / Howe Ave,Sacramento,CA,38.6009,-121.414
Sacramento / W. Capitol Ave,West Sacramento,CA,38.5782,-121.564
Miami / Airport II,Miami,FL,25.8102,-80.2429
Marietta/Windy Hill &Cobb Pkwy,Marietta,GA,33.908,-84.4908
Sacramento / Florin Road,Sacramento,CA,38.4956,-121.43
S.San Francisco/S.Spruce Ave I,South San Francisco,CA,37.6496,-122.419
Palmdale / P Street,Palmdale,CA,34.5998,-118.139
Tucker / Montreal Rd & I-285,Tucker,GA,33.825,-84.2537
Pasadena/ 888 S. Fair Oaks Ave,Pasadena,CA,34.1304,-118.15
Carmichael/Fair Oaks-Marconi,Carmichael,CA,38.62,-121.328
Carson / Carson Street,Carson,CA,33.8312,-118.241
Miami / NW 27th Ave,Opa-Locka,FL,25.9169,-80.2449
San Jose / Capitol & Quimby,San Jose,CA,37.3235,-121.809
Tucker/Mtn Industrial Bl & I78,Tucker,GA,33.8372,-84.2013
Kirkman West,Orlando,FL,28.5301,-81.4603
Austin / 183 & McNeil Rd.,Austin,TX,30.437,-97.7727
Rochelle Park / 168 Route 17 N,Rochelle Park,NJ,40.9032,-74.0714
Kaimuki,Honolulu,HI,21.2898,-157.813
Sunny Isles Bch/Sunny Isles Bl,Sunny Isles Beach,FL,25.9301,-80.1258
San Ramon/1925SanRamonVlyBl II,San Ramon,CA,37.7862,-121.981
Austin / W. 6th & Lamar,Austin,TX,30.2731,-97.7592
Schaumburg / 777 W. Wise Rd,Schaumburg,IL,42.0042,-88.0985
Laguna Woods/ Moulton/Ridge Rt,Laguna Woods,CA,33.6206,-117.73
Annapolis / West Street,Annapolis,MD,38.9806,-76.5237
Birmingham / Commons Drive,Birmingham,AL,33.44,-86.8339
Crestwood/Watson Rd & Pardee,St Louis,MO,38.5607,-90.3685
Northglenn/Huron St &115th Ave,Northglenn,CO,39.9061,-104.996
Skokie / Skokie Blvd & Oakton,Skokie,IL,42.0305,-87.748
Garden City / Stewart Ave,Garden City,NY,40.7358,-73.5961
Millersville / Veterans Hwy, Ste 200",Millersville,21108,39.1036
W. Babylon / Sunrise Hwy,West Babylon,NY,40.7152,-73.3356
Memphis / Summer Ave,Memphis,TN,35.1478,-89.9139
Santa Clara / Lafayette Street,Santa Clara,CA,37.3598,-121.947
Naperville / Washington Street,Naperville,IL,41.722,-88.1346
Phoenix/W Union Hls Dr &7th Av,Phoenix,AZ,33.6536,-112.081
Woodlawn / Whitehead Road,Baltimore,MD,39.3134,-76.7397
Issaquah / 221st,Issaquah,WA,47.5501,-122.044
W. LA /W Olympic Bl & Sawtelle,Los Angeles,CA,34.0388,-118.441
New Orleans East/I-10 &Bullard,New Orleans,LA,30.0492,-89.9549
Pasadena/Colorado &San Gabriel,Pasadena,CA,34.1463,-118.093
Memphis / Covington Pike,Memphis,TN,35.2041,-89.8935
Hiawassee / N.Hiawassee Rd,Hiawassee,FL,28.5816,-81.4769
Longwood / 434 & 427,Longwood,FL,28.6975,-81.3413
North Semoran/at LakeHowell Ln,Casselberry,FL,28.6313,-81.3196
Kahala,Honolulu,HI,21.2794,-157.789
Waukegan / Green Bay Road,Waukegan,IL,42.3795,-87.883
Southfield / Telegraph Road,Southfield,MI,42.464,-83.2778
San Mateo/ 2222 S. Delaware St,San Mateo,CA,37.5487,-122.306
Scottsdale/N.Hayden&Gelding Rd,Scottsdale,AZ,33.6171,-111.907
Ahwatukee / Park Ave & Elliott,Gilbert,AZ,33.3539,-111.825
W.Palm Beach/Okeechobee&Donnel,West Palm Beach,FL,26.7057,-80.1065
Indianapolis/W86th &Georgetown,Indianapolis,IN,39.911,-86.2331
Indianapolis / Madison Ave,Indianapolis,IN,39.6602,-86.1281
Indianapolis / Rockville Road,Indianapolis,IN,39.7628,-86.2917
Santa Cruz /River St & Encinal,Santa Cruz,CA,36.987,-122.031
